Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","1u","C0603",313.491674,-182.880000,180.000000,top
"C2","0.1u","C0603",323.189000,-153.273000,90.000000,top
"C4","1u","C0603",344.170000,-123.190000,90.000000,top
"C5","22u","C0805",349.885000,-140.335000,90.000000,top
"C7","100n","C0603",355.319868,-148.923456,0.000000,top
"C8","100n","C0603",355.407322,-134.620000,0.000000,top
"C11","0.1u","C0603",344.170000,-135.890000,-90.000000,top
"C12","0.1u","C0603",248.098106,-135.001468,0.000000,top
"C13","0.1u","C0603",202.565000,-67.945000,180.000000,top
"C14","1u","C0603",313.467475,-180.285256,180.000000,top
"C15","0.1u","C0603",216.535000,-67.945000,180.000000,top
"C16","0.1u","C0603",256.208166,-135.222015,0.000000,top
"C17","0.1u","C0603",276.860000,-148.805000,90.000000,top
"C18","0.1u","C0603",274.121198,-148.805000,90.000000,top
"C19","0.1u","C0603",230.505000,-94.435729,0.000000,top
"C22","0.1u","C0603",207.205000,-80.785000,180.000000,top
"C23","0.1u","C0603",240.243210,-135.144172,180.000000,top
"C24","1.0u Cer","C0603",207.705000,-91.785000,180.000000,top
"C25","0.1u","C0603",316.230000,-131.230000,90.000000,top
"C26","0.1u","C0603",332.490504,-104.272340,-90.000000,top
"C27","0.1u","C0603",356.655000,-125.730000,180.000000,top
"C29","18p","C0603",261.620000,-155.575000,90.000000,top
"C30","18p","C0603",254.635000,-155.575000,90.000000,top
"C31","0.1u","C0603",346.710000,-203.200000,-90.000000,top
"C32","0.1u","C0603",341.210000,-182.880000,180.000000,top
"C33","0.1u","C0603",247.015000,-94.400000,-90.000000,top
"C34","0.1u","C0603",368.300000,-104.272923,-90.000000,top
"C35","0.1u","C0603",341.210000,-180.340000,180.000000,top
"C39","18p","C0603",220.980000,-81.280000,180.000000,top
"C40","18p","C0603",221.154390,-91.440000,180.000000,top
"C41","0.1u","C0603",241.300000,-151.550000,90.000000,top
"C42","0.1u","C0603",289.560000,-190.920000,90.000000,top
"C43","0.1u","C0603",278.550000,-198.120000,180.000000,top
"C44","0.1u","C0603",294.005000,-198.120000,180.000000,top
"C45","0.1u","C0603",261.620000,-163.830000,90.000000,top
"C46","0.1u","C0603",293.388692,-103.720000,-90.000000,top
"C47","0.1u","C0603",312.420000,-103.857445,-90.000000,top
"C48","0.1u","C0603",320.040000,-199.583012,-90.000000,top
"C49","1u","C0603",316.230000,-154.059211,0.000000,top
"C54","1u","C0603",342.714439,-153.670000,180.000000,top
"C55","1u","C0603",290.110704,-131.230000,90.000000,top
"C56","1u","C0603",342.737114,-156.210000,180.000000,top
"C57","1u","C0603",326.947000,-183.043000,90.000000,top
"C58","0.1u","C0603",350.520000,-104.142852,90.000000,top
"C63","100n","C0603",314.960000,-160.655000,180.000000,top
"C64","22u","C0805",354.965000,-163.830000,-90.000000,top
"C65","22u","C0805",371.217411,-99.152863,0.000000,top
"C66","22u","C0805",353.695000,-179.070000,-90.000000,top
"C67","22u","C0805",257.810000,-171.450000,0.000000,top
"C68","22u","C0805",221.615000,-95.885000,0.000000,top
"C69","22u","C0805",67.310000,-202.946000,-90.000000,top
"C70","22u","C0805",273.852491,-95.002215,0.000000,top
"C71","22u","C0805",111.760000,-89.063175,0.000000,top
"C85","100n","C0603",332.467000,-153.273000,90.000000,top
"C100","0.1u","C0603",343.205000,-161.535000,180.000000,top
"C101","0.1u","C0603",350.940000,-163.830000,-90.000000,top
"C102","0.1u","C0603",314.205000,-169.285000,0.000000,top
"C103","0.1u","C0603",328.947000,-183.043000,-90.000000,top
"C104","0.1u","C0603",347.980000,-163.830000,-90.000000,top
"C105","0.1u","C0603",343.455000,-168.535000,180.000000,top
"C106","0.1u","C0603",271.780000,-178.435000,90.000000,top
"C107","0.1u","C0603",269.100166,-178.435000,90.000000,top
"C108","0.1u","C0603",351.155000,-179.285000,90.000000,top
"C109","0.1u","C0603",326.009000,-153.289000,90.000000,top
"C110","0.1u","C0603",314.455000,-173.990000,180.000000,top
"C111","0.1u","C0603",328.041000,-153.273000,-90.000000,top
"C112","0.1u","C0603",343.455000,-171.285000,0.000000,top
"C113","0.1u","C0603",267.235711,-138.166191,90.000000,top
"C120","1u","C0603",315.964612,-156.771714,180.000000,top
"C121","1u","C0603",314.205000,-167.285000,180.000000,top
"C123","1u","C0603",333.629000,-183.007000,-90.000000,top
"C127","100n","C0603",321.947000,-183.043000,-90.000000,top
"C128","100n","C0603",359.410000,-163.830000,-90.000000,top
"C146","0.1u","C0603",154.659735,-181.142688,-90.000000,top
"C147","0.1u","C0603",378.372000,-99.656000,-90.000000,top
"C150","0.1u","C0603",373.761000,-128.905000,-90.000000,top
"C152","100n","C0603",367.665000,-69.215000,-90.000000,top
"C154","22u","C0805",368.935000,-64.770000,90.000000,top
"C155","100n","C0603",366.395000,-64.770000,90.000000,top
"CN2","PORT_CASSETTE_EDGE","MA156_6-2_KEYED",134.935565,-48.598750,180.000000,top
"CN3","PORT_IEEE_EDGE","MA156_12-2_IEEE",61.649750,-48.596750,180.000000,top
"CN5","PORT_USER_PET_EDGE","MA156_12-2_USER",21.620877,-104.874215,-90.000000,top
"IC1","RAMSOCK32TO512KSOP","SOP32",302.260000,-132.080000,0.000000,top
"IC2","74245DW","SO20W@1",255.905000,-94.615000,0.000000,top
"IC3","74LVC125D","SO14@1",281.940000,-190.500000,180.000000,top
"IC4","74245DW","SO20W@1",303.530000,-104.140000,180.000000,top
"IC5","74245DW","SO20W@1",284.480000,-104.140000,180.000000,top
"IC7","74LVC138D","SO16",274.955000,-137.764139,0.000000,top
"IC8","MAX3421E","PQFP-32_5x5mm_P0.5mm",213.360000,-86.360000,90.000000,top
"IC10","RAMSOCK32TO512KSOP","SOP32",334.010000,-199.390000,180.000000,top
"IC13","74244DW","SO20W@1",341.630000,-104.140000,180.000000,top
"IC14","74LVC14","SO14",337.820000,-123.190000,180.000000,top
"IC16","74LVC8T245SO24","SO24L",325.120000,-104.140000,180.000000,top
"IC18","74LVC06","SO14",337.820000,-135.890000,180.000000,top
"IC19","74244DW","SO20W@1",359.410000,-104.213462,180.000000,top
"IC24","PCF9564","TSSOP-20_4.4x6.5mm_P0.65mm",148.590000,-183.515000,0.000000,top
"JS1","RENOSCXLH","RENJS6",365.984250,-166.911750,-90.000000,top
"Q4","IRLML5203","MICRO3",386.080000,-55.245000,-90.000000,top
"SN1","MCP48X2","SOIC8",247.015000,-152.340000,0.000000,top
"U$3","LDI1117","SOT223",356.870000,-142.007146,-90.000000,top
"U$5","ESDBIDIR","SOD323",257.683000,-79.598800,180.000000,top
"U$6","ESDBIDIR","SOD323",257.663340,-83.408800,180.000000,top
"U$8","ESDBIDIR","SOD323",257.683000,-71.882000,180.000000,top
"U$10","ESDBIDIR","SOD323",257.683000,-68.168800,180.000000,top
"U$11","ESDBIDIR","SOD323",257.683000,-75.819000,180.000000,top
"U$13","MCP79510","MSOP10",257.810000,-163.830000,180.000000,top
"U$14","ESDBIDIR","SOD323",206.375000,-60.959654,90.000000,top
"U$15","ESDBIDIR","SOD323",214.630000,-60.960000,90.000000,top
"U$16","AP2132BB","PSOP-8-FIXED",361.315000,-179.070000,180.000000,top
"U$17","LDI1117","SOT223",375.920000,-64.135000,-90.000000,top
"U$19","XC6SLX9-TQG144","TQFP144",330.218519,-168.261791,-90.000000,top
"U1","74LVC1G04","SOT-23-5",304.848360,-190.883223,180.000000,top
"U4","CD4053B","SOIC-16_3.9x9.9mm_P1.27mm",385.064000,-99.822000,90.000000,top
"U5","CD4053B","SOIC-16_3.9x9.9mm_P1.27mm",380.111000,-128.905000,90.000000,top
"U8","74AHCT1G08","TSOP-5_1.65x3.05mm_P0.95mm",71.381000,-169.988000,0.000000,top
