Comment,Designator,Footprint,LCSC,Quantity
74AHCT1G08,U8,TSOP-5_1.65x3.05mm_P0.95mm,C113521,1
100,"R26,R28,R31,R39,R40",0207_2V,C119304,5
68,"R7,R8",0204V,C119315,2
4k7,"R25,R27,R3",0207_2V,C119339,3
10k,"R10,R11,R12,R16,R24,R34,R35,R5,R6,R74,R75,R78,R9",0207_2V,C119347,13
15k,R76,0207_7,C119351,1
100K,"R52,R54,R56,R58,R60,R62,R64,R66,R77,R79,R80",0204_7,C119369,11
180,R50,0204_7,C119852,1
330,R29,0207_2V,C120043,1
1k5,R38,0204V,C120059,1
4k7,"R43,R44",0207_10,C120071,2
6k8,RS0,0204_7,C129911,1
74245DW,"IC2,IC4,IC5",SOP-20_7.5x12.8mm_P1.27mm,C132267,3
74LVC14,IC14,SO14,C133541,1
1k1,RG0,0204_7,C1367075,1
MCP48X2,SN1,SOIC8,C144363,1
0.1u,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C12,C127,C128,C13,C146,C147,C15,C150,C152,C155,C157,C16,C160,C165,C166,C167,C17,C18,C19,C2,C22,C23,C25,C26,C27,C31,C32,C33,C34,C35,C41,C42,C43,C44,C45,C46,C47,C48,C58,C63,C7,C8,C85",C0603,C14663,58
1u,"C1,C120,C121,C123,C14,C24,C4,C49,C54,C55,C56,C57",C0603,C15849,12
18p,"C29,C30,C39,C40",C0603,C1647,4
10k,"R30,R47,R48",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,3
74LVC1G08,U9,SOT-23-5,C19829591,1
VIA,"IC15,IC17,IC20,IC36",DIP-40_W15.24mm_Socket_LongPads,C2332,4
JP1E,"JP1,JP11,JP12,JP15,JP17,JP18,JP2,JP22,JP23,JP25,JP3,JP4,JP6,JP8,JP9",JP1,C234182,15
1N4448,"D1,D10,D12,D14,D15,D16,D17,D2,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D7",D_DO-35_SOD27_P7.62mm_Horizontal,C258171,32
74LVC8T245SO24,IC16,SO24L,C2677625,1
PCF9564,IC24,TSSOP-20_4.4x6.5mm_P0.65mm,C2678050,1
ESDBIDIR,"UX10,UX11,UX14,UX15,UX5,UX6,UX8",SOD323,C2687118,7
100n,"C10,C124,C131,C132,C133,C134,C135,C137,C138,C139,C141,C142,C143,C144,C145,C20,C28,C3,C36,C37,C50,C51,C52,C53,C59,C60,C62,C73,C74,C76,C77,C84,C92,C93,C94",C025-025X050,C2761728,35
SG-8002CE,X1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,C2831398,1
0.01u,"C148,C149",C025-024X044,C2832505,2
10,R33,0207_10,C2894558,1
390,"R17,R22",0207_2V,C2894694,2
22u,"C154,C5,C64,C65,C66,C67,C68,C69,C70,C71",C0805,C29277,10
5k1,"RN4,RN6",RN-9,C30844,2
2171800001,J15,MOLEX_2171800001,C3197940,1
10k,RN8,RN-8,C33479,1
4k7,RN7,RN-8,C33481,1
AP2132BB,UX16,PSOP-8-FIXED,C338874,1
CBMTAPE,"P6,P7",JP6,C37208,2
1N4148DO35-10,"D18,D19,D20,D21,D22,D23,D24,D25,D26,D5,D6,D8",DO35-10,C402212,12
XC6SLX9-TQG144,UX19,TQFP-144_20x20mm_P0.5mm,C415799,1
MAX3421E,IC8,LQFP-32_5x5mm_P0.5mm,C45862,1
470,"R13,R14,R15,R21,R32,R55,R59,R63,R67,R81",0204V,C5200431,10
1N5400,D11,DO201-15,C5359861,1
W65C816SPLCC,UX1,PLCC-44_THT-Socket,C5544025,1
512k x8 10ns SRAM,"IC1,IC10",TSOP-II-44_10.16x18.41mm_P0.8mm,C5554776,2
UEXT_Host,"J7,P4,P9,UX7",IDC-Header_2x05_P2.54mm_Vertical,C5665,4
2k2,"R23,R36",0204V,C58682,2
JP2E,"JP13,JP14,JP16,JP20,JP24,JP26,JP27,JP28,JP29",JP2,C587036,9
Conn_01x04_Pin,"J6,JP19,JP7",PinHeader_1x04_P2.54mm_Vertical,C587039,3
74LVC125D,IC3,SO14@1,C6057,1
74LVC138D,IC7,SO16,C6061,1
LDI1117,"UX17,UX3",SOT223,C6186,2
MCP79510,UX13,MSOP10,C627709,1
JP3Q,JP10,JP3Q,C65114,1
CD4053B,"U4,U5",SOIC-16_3.9x9.9mm_P1.27mm,C6742,2
74244DW,"IC13,IC19",SOP-20_7.5x12.8mm_P1.27mm,C6776,2
33,"R1,R2,R4",0204_7,C713968,3
1k,"R18,R19,R20,R37,R45,R46,R73",0204V,C713997,7
5k1,"R41,R42",0207_2V,C714010,2
220k,"R53,R57,R61,R65",0204_7,C714041,4
7417N,"IC21,IC22,IC23,IC26,IC27,IC29,IC34,IC40,IC48,U2,U3",DIP-14_W7.62mm_Socket_LongPads,C72114,11
74138N,"IC11,IC12,IC25,IC28,IC31,IC32,IC35,IC9",DIP-16_W7.62mm_Socket_LongPads,C72115,8
74241N,"IC49,UX20,UX21",DIP-20_W7.62mm_Socket_LongPads,C72118,3
SID,"UX22,UX23",DIP-28_W15.24mm_Socket_LongPads,C72121,2
LM386,"U6,U7,UX18,UX24,UX4",DIP-8_W7.62mm_Socket_LongPads,C72124,5
74LVC1G04,U1,SOT-23-5,C7434171,1
CH340C,U10,SOIC-16_3.9x9.9mm_P1.27mm,C7464026,1
Conn_02x04_Odd_Even,J8,PinHeader_2x04_P2.54mm_Vertical,C7501275,1
~,P11,PinHeader_2x06_P2.54mm_Vertical,C7501277,1
74LVC06,IC18,SO14,C7658,1
10k,"RN1,RN2",RN-9,C8692,2
2k4,"RN3,RN5",RN-9,C9107,2
IEEE488FLATCABLE,"P3,P5",FLAT24,C9137,2
C64KEYB,P2,C64KEYB,,1
2T2222,T6,TO92,,1
47u,C151,"E2,5-6",,1
M09-182,X7,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,,1
dual 10k linear,RV1,RK12L12_horizontal,,1
Conn_01x07,J13,PinHeader_1x07_P2.54mm_Vertical,,1
LED3MM,LED1,LED3MM,,1
47u,C153,"E2,5-6",,1
31-XX,S2,B3F-31XX,,1
22000,C81,C025-025X050,,1
M09-182,X8,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,,1
Conn_01x01_Pin,J4,PinHeader_1x01_P2.54mm_Vertical,,1
100u,C21,E2-5,,1
4u7,C88,"E2,5-6",,1
47u,C61,"E2,5-6",,1
1u,C117,E2-5,,1
1u,C96,E2-5,,1
47u,C6,"E2,5-6",,1
47u,C75,"E2,5-7",,1
"1,8432MHz",QG3,SG51,,1
Conn_01x01_Pin,J5,PinHeader_1x01_P2.54mm_Vertical,,1
22u,C38,"E2,5-6",,1
PORT_CASSETTE_EDGE,CN2,MA156_6-2_KEYED,,1
47u,C72,"E2,5-7",,1
32kHz,Q2,TC26H,,1
1u,C95,E2-5,,1
22000,C79,C025-025X050,,1
BC557,Q1,TO92,,1
2200,C162,C025-025X050,,1
470u,C97,"E2,5-7",,1
M09HPS,X3,M09HP,,1
100u,C158,CP_Radial_D5.0mm_P2.50mm,,1
2200,C163,C025-025X050,,1
7.5V,D13,C1702-15,,1
Conn_01x09,J11,PinHeader_1x09_P2.54mm_Vertical,,1
0.22,R49,0204_7,,1
Conn_01x09,J12,PinHeader_1x09_P2.54mm_Vertical,,1
PORT_USER_PET_EDGE,CN5,MA156_12-2_USER,,1
100u,C9,E2-5,,1
1u,C86,"E2,5-6",,1
1503_09,X4,1503_09,,1
USB-A-H,USB1,USB-A-H,,1
10u,C83,E2-5,,1
100u,C159,CP_Radial_D5.0mm_P2.50mm,,1
Conn_01x01_Pin,J1,PinHeader_1x01_P2.54mm_Vertical,,1
10u,C119,E2-5,,1
1u,C90,"E2,5-6",,1
D-SUB15-HDR15RA,X2,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,,1
2200,C161,C025-025X050,,1
"0.01, 50V",C125,C025-024X044,,1
PORT_IEEE_EDGE,CN3,MA156_12-2_IEEE,,1
16255 UART,IC6,PLCC-44_THT-Socket,,1
2T2222,T7,TO92,,1
BC547,T10,TO92,,1
100u,C98,"E2,5-7",,1
4u7,C89,"E2,5-6",,1
47u,C156,"E2,5-6",,1
~,SW1,SW_E-Switch-400-combined2,,1
1500p,C114,C025-024X044,,1
330u,C99,"E2,5-7",,1
22000,C78,C025-025X050,,1
22000,C80,C025-025X050,,1
Conn_01x01_Pin,J3,PinHeader_1x01_P2.54mm_Vertical,,1
10u,C130,E2-4,,1
TIP31,T8,TO220,,1
12MHz,Q3,HC49_S,,1
10u,C82,E2-5,,1
Conn_01x09,J10,PinHeader_1x09_P2.54mm_Vertical,,1
1u,C91,"E2,5-6",,1
47u,C140,"E2,5-7",,1
0.47,C126,C025-025X050,,1
DS1813,DS1818,TO-92_Inline,,1
31-XX,S1,B3F-31XX,,1
200uH,L4,TJ4-U2,,1
10u,C122,E2-5,,1
100u,C136,E2-5,,1
4700u,C168,CP_Radial_D16.0mm_P7.50mm,,1
1uH,L2,0204_7@1,,1
2200,C164,C025-025X050,,1
1u,C116,E2-5,,1
1u,C118,E2-5,,1
Conn_01x01_Pin,J9,PinHeader_1x01_P2.54mm_Vertical,,1
PIEZOBEEPERPIEZO,BEEP1,PIEZOBEEPER,,1
1u,C87,"E2,5-6",,1
1u,C115,E2-5,,1
~,P10,Pmod-SDCard,,1
CSABUSSOCK180,P1,CSABUSSOCK180,,1
100u,C129,E2-5,,1
Extended_PET_keyboard_connector,J14,PET_Extended_Keyboard_Connector,,1
JP7,UX26,JP7,,1
CSASHORTBUSFA,UX25,FABC48R2-reversed,,1
SD-CARD-GRAVI,UX12,GRAVITECH-SDCARD,,1
ETHOLIENC,UX9,ETHOLIENC,,1
DINIEC,UX28,DIN6PIEC,,1
